Date,p (psia),Np (STB),Gp (SCF),Wp (STB),Gi (SCF),Wi (STB),Rp (SCF/STB),Bo (RB/STB),Bg (RB/SCF),Rs (SCF/STB),Rv (STB/SCF)
2013-06-01,4904.74,48985200,40264600000,48266000.0,0,122125000,821.975,1.3029275607035673,0.0009444650417367002,627.7110850725221,0.0
2013-07-01,4941.0,49226600,40479800000,49566400.0,0,123790000,822.316,1.3023554827500199,0.0009394751886161463,627.7110850725221,0.0
2013-08-01,4938.97,49618500,40816500000,51107000.0,0,125941000,822.6060000000001,1.3023873118640386,0.0009397522240900989,627.7110850725221,0.0
2013-09-01,4935.05,49938400,41093900000,52358200.0,0,127649000,822.8919999999999,1.302448827790947,0.0009402879558006618,627.7110850725221,0.0
2013-10-01,4924.32,50321200,41424500000,53843800.0,0,129614000,823.201,1.3026176190143663,0.0009417595954930756,627.7110850725221,0.0
2013-11-01,4918.96,50709900,41757000000,55293600.0,0,131651000,823.45,1.3027021929659552,0.0009424976172577894,627.7110850725221,0.0
2013-12-01,4932.73,51062000,42063100000,56728400.0,0,133653000,823.765,1.3024852702900254,0.0009406054993593177,627.7110850725221,0.0
2014-01-01,4979.58,51451300,42389900000,57974300.0,0,135457000,823.883,1.3017528032201584,0.00093426048192639,627.7110850725221,0.0
2014-02-01,4966.38,51809600,42692800000,59292400.0,0,137161000,824.034,1.301958681331701,0.0009360340649294235,627.7110850725221,0.0
2014-03-01,4931.43,52200500,43024600000,60754900.0,0,139190000,824.2189999999999,1.3025057027625444,0.0009407835891795089,627.7110850725221,0.0
2014-04-01,4958.99,52679800,43424200000,62328100.0,0,141426000,824.305,1.3020740572349072,0.0009370317754090847,627.7110850725221,0.0
2014-05-01,4881.39,53207000,43843900000,63544400.0,0,143386000,824.0260000000001,1.3032979397419873,0.0009477261055354038,627.7110850725221,0.0
2014-06-01,4928.38,53707200,44259500000,65202300.0,0,145731000,824.0880000000001,1.3025536763447396,0.0009412018563836052,627.7110850725221,0.0
2014-07-01,4919.1,54178800,44656400000,66869800.0,0,148097000,824.2410000000001,1.3026999815397455,0.0009424783159054602,627.7110850725221,0.0
2014-08-01,4943.76,54489300,44927800000,68253700.0,0,150023000,824.525,1.302312235385878,0.0009390989621762004,627.7110850725221,0.0
2014-09-01,5003.66,54881700,45275300000,69914000.0,0,152290000,824.961,1.301377684228096,0.0009310525239156564,627.7110850725221,0.0
2014-10-01,5016.13,55287500,45629400000,71682300.0,0,154721000,825.312,1.3011835270632748,0.0009294048366524534,627.7110850725221,0.0
2014-11-01,5032.08,55620300,45923100000,73159600.0,0,156691000,825.653,1.3009351515495737,0.0009273104348539337,627.7110850725221,0.0
2014-12-01,5113.16,55735600,46031000000,73810600.0,0,157713000,825.8810000000001,1.2996670998881852,0.0009168877808437152,627.7110850725221,0.0
2015-01-01,5114.9,56246600,46456200000,74612700.0,0,158958000,825.939,1.2996398870409371,0.0009166682391848909,627.7110850725221,0.0
2015-02-01,5050.94,56663400,46812100000,75443000.0,0,160526000,826.143,1.3006412340467892,0.0009248525555763489,627.7110850725221,0.0
2015-03-01,5087.2,57177500,47239200000,76436800.0,0,162192000,826.185,1.3000743919365412,0.000920183949764729,627.7110850725221,0.0
2015-04-01,5052.1,57744900,47706100000,77418500.0,0,164020000,826.1519999999999,1.3006231436246058,0.0009247020407062811,627.7110850725221,0.0
2015-05-01,5016.71,58292500,48156900000,78418600.0,0,165679000,826.125,1.3011744965751748,0.0009293284208021965,627.7110850725221,0.0
2015-06-01,4983.93,58819800,48592600000,79494100.0,0,167613000,826.127,1.3016850040765666,0.0009336783684723513,627.7110850725221,0.0
2015-07-01,5024.98,59285200,48983100000,80610700.0,0,169335000,826.2280000000001,1.3010457261514012,0.0009282409448258289,627.7110850725221,0.0
2015-08-01,4992.63,59639300,49285600000,81555900.0,0,170769000,826.395,1.3015494588219287,0.0009325176055924868,627.7110850725221,0.0
